id,dzcode,coord_long,coord_lat,pos_x,pos_y,cityname_chn,cityname_eng,cpop2000,cpop2010,upop2000,upop2010,cityclass
60,2306,125.03,46.580002,9211,2096,大庆市,Daqing,257.80511,290.45319,138.6842,184.68919,4
61,2307,128.91,47.720001,9740,1755,伊春市,Yichun1,124.9621,114.8126,112.6748,96.439102,3
62,2308,130.37,46.82,9992,1904,佳木斯市,Jiamusi,235.83099,255.2097,108.5998,135.5497,4
63,2309,130.95,45.779999,10125,2108,七台河市,Qitaihe,80.744003,92.041901,55.830799,62.333698,3
64,2310,129.61,44.630001,9975,2395,牡丹江市,Mudanjiang,268.44949,279.87231,148.5829,161.03481,4
65,2311,127.5,50.240002,9438,1258,黑河市,Heihe,167.18111,167.3898,65.082497,88.006599,3
66,3101,121.48,31.23,9076,5528,上海市,Shanghai,1640.7729,2301.915,1448.9919,2055.51,7
67,3201,118.78,32.07,8562,5394,南京市,Nanjing,612.61652,800.46802,435.52802,623.8186,6
68,3202,120.3,31.57,8851,5477,无锡市,Wuxi,508.6586,637.26001,296.29691,448.19031,5
69,3203,117.18,34.27,8234,4933,徐州市,Xuzhou,891.39648,858.04999,298.1759,456.14999,5
70,3204,119.95,31.780001,8782,5438,常州市,Changzhou,377.62701,459.20001,203.7352,290.09698,4
71,3205,120.58,31.299999,8908,5531,苏州市,Suzhou1,679.22388,1046.6,387.72809,732.95142,6
72,3206,120.88,31.98,8947,5376,南通市,Nantong,751.29187,728.28003,251.9791,406.43881,5
73,3207,119.22,34.599998,8590,4830,连云港市,Lianyungang,456.9913,439.39001,128.0345,227.38721,4
74,3208,119.02,33.560001,8575,5063,淮安市,Huaian,503.82309,479.98999,144.8492,243.8667,4
75,3209,120.15,33.349998,8783,5089,盐城市,Yancheng,794.65442,726.02002,282.9848,377.27789,5
76,3210,119.4,32.400002,8668,5311,扬州市,Yangzhou,458.85541,445.98001,195.9025,253.0918,4
77,3211,119.45,32.200001,8681,5354,镇江市,Zhenjiang,284.4856,311.34,143.44659,192.9892,4
78,3212,119.92,32.450001,8761,5291,泰州市,Taizhou4,478.5759,461.85999,188.60809,257.0087,4
79,3213,118.23,33.950001,8427,4989,宿迁市,Suqian,506.15759,471.56,128.9682,227.8812,4
80,3301,120.1,30.23,8844,5775,杭州市,Hangzhou,687.87219,870.03998,403.33969,637.26501,6
81,3302,121.55,29.879999,9123,5822,宁波市,Ningbo,596.33618,760.57001,332.3736,519.51617,6
82,3303,120.64,27.950001,8999,6262,温州市,Wenzhou,755.76398,912.21002,389.13141,602.20313,6
83,3304,120.77,30.75,8957,5648,嘉兴市,Jiaxing,358.29959,450.17001,136.0825,240.0663,4
84,3305,120.08,30.83,8827,5644,湖州市,Huzhou,262.55951,289.35001,101.6669,153.04179,4
85,3306,120.57,30,8937,5816,绍兴市,Shaoxing,430.4241,491.22,209.535,287.76239,4
86,3307,119.63,29.120001,8780,6026,金华市,Jinhua,457.18811,536.15997,207.3217,316.18011,5
87,3308,118.86,28.9,8639,6088,衢州市,Quzhou,212.8856,212.27,62.967098,93.683296,3
88,3309,122.2,30,9241,5781,舟山市,Zhoushan,100.153,112.13,56.117001,71.305702,3
89,3310,121.43,28.620001,9133,6100,台州市,Taizhou2,515.37152,596.88,265.58401,331.53189,5
90,3311,119.92,28.450001,8850,6167,丽水市,Lishui,216.2113,211.7,71.538498,102.4651,4
91,3401,117.25,31.83,8286,5469,合肥市,Hefei,446.7384,570.20001,196.4008,388.72729,5
92,3402,118.38,31.33,8503,5563,芜湖市,Wuhu,211.5421,226.3,90.487198,147.5022,4
93,3403,117.38,32.900002,8292,5232,蚌埠市,Bengbu,328.83289,316.39999,101.0127,137.35539,4
94,3404,116.97,32.599998,8223,5303,淮南市,Huainan,204.0649,233.39999,115.5063,144.2117,4
95,3405,118.5,31.700001,8518,5480,马鞍山市,Maanshan,119.6916,136.60001,60.2528,93.944702,3
96,3406,116.8,33.950001,8171,5008,淮北市,Huaibei,187.81641,211.39999,77.658302,111.9551,4
97,3407,117.82,30.879999,8407,5670,铜陵市,Tongling,68.471603,72.400002,39.3246,52.626099,3
98,3408,117.05,30.530001,8270,5758,安庆市,Anqing,518,531.09998,115.7013,195.3494,4
99,3410,118.33,29.719999,8523,5917,黄山市,Huangshan,137.0377,135.89999,38.946201,55.5163,3
100,3411,118.32,32.299999,8474,5351,滁州市,Chuzhou,400.1488,393.79999,99.724098,163.437,4
101,3412,115.82,32.900002,8010,5251,阜阳市,Fuyang,800.3963,760,175.7961,239.31239,4
102,3413,116.96,33.599998,8205,5083,宿州市,Suzhou4,551.64227,535.29999,84.831596,167.0862,4
103,3415,116.5,31.719999,8150,5503,六安市,Liuan,595.46527,561.20001,110.33,195.4534,4
104,3416,115.78,33.849998,7990,5042,毫州市,Bozhou,507.89081,485.10001,95.655098,135.8721,4
105,3417,117.48,30.290001,8354,5805,池州市,Chizhou,138.9469,140.3,32.396198,62.283401,3
106,3418,118.73,30.91,8575,5650,宣城市,Xuancheng,265.9639,253.3,57.5233,109.6474,4
107,3501,119.3,26.08,8781,6694,福州市,Fuzhou2,638.6015,711.53699,335.90509,440.80759,5
108,3502,118.11,24.43,8577,7072,厦门市,Xiamen,205.30701,353.1347,145.44501,311.91101,5
109,3503,119,25.43,8735,6841,莆田市,Putian,272.7923,277.8508,79.554901,141.1015,4
110,3504,117.65,26.209999,8455,6694,三明市,Sanming,257.4075,250.33881,99.350998,127.9742,4
111,3505,118.65,24.860001,8677,6970,泉州市,Quanzhou,728.30402,812.85303,283.521,474.95041,5
112,3506,117.65,24.52,8484,7060,漳州市,Zhangzhou,458.16751,480.99829,160.7608,224.75639,4
113,3507,117.92,26.719999,8499,6579,南平市,Nanping,281.65811,264.5549,122.5752,134.2334,4
114,3508,117.02,25.07,8350,6950,龙岩市,Longyan,268.431,255.9545,96.569603,115.2257,4
115,3509,119.5,26.65,8808,6567,宁德市,Ningde,299.12579,282.19958,106.9986,135.2338,4
116,3601,115.85,28.68,8071,6178,南昌市,Nanchang,433.16681,504.2565,211.5437,331.32349,5
117,3602,117.19,29.27,8316,6032,景德镇市,Jingdezhen,145.3367,158.7477,66.613503,89.393799,3
118,3603,113.83,27.6,7695,6433,萍乡市,Pingxiang,172.47321,185.451,67.5093,109.7352,4
119,3604,116,29.700001,8086,5953,九江市,Jiujiang,440.12479,472.87631,124.856,201.11549,4
120,3605,114.89,27.799999,7897,6380,新余市,Xinyu,107.182,113.8873,45.726002,70.119797,3
121,3606,117.07,28.27,8310,6253,鹰潭市,Yingtan,102.7075,112.4906,35.7043,53.368198,3
122,3607,114.88,25.84,7917,6808,赣州市,Ganzhou,739.68732,836.84399,151.81841,314.15921,5
123,3608,114.95,27.09,7917,6535,吉安市,JiAn,436.09241,481.034,95.512199,180.899,4
124,3609,114.38,27.799999,7799,6385,宜春市,Yichun2,507.97919,541.95752,126.0043,192.8705,4
125,3610,116.35,27.969999,8176,6327,抚州市,Fuzhou3,357.2421,391.2312,91.462502,145.60069,4
126,3611,117.97,28.450001,8478,6200,上饶市,Shangrao,597.76782,657.97137,101.7529,261.41061,4
127,3701,117,36.630001,8165,4414,济南市,JiNan,592.18909,681.40002,333.44821,439.29221,5
128,3702,120.38,36.07,8760,4487,青岛市,Qingdao,749.41937,871.51001,428.3674,573.54388,6
129,3703,118.05,36.82,8343,4359,淄博市,Zibo,418.44299,453.06,221.0363,285.95401,4
130,3704,117.32,34.82,8250,4810,枣庄市,Zaozhuang,354.56149,372.92999,138.96539,176.4366,4
131,3705,118.67,37.43,8437,4215,东营市,Dongying,179.31709,203.53,86.546204,122.1644,4
132,3706,121.43,37.450001,8907,4163,烟台市,Yantai,663.57349,696.82001,303.69019,385.14249,5
133,3707,119.15,36.700001,8534,4369,潍坊市,Weifang,849.53003,908.62,344.80121,426.6496,5
134,3708,116.58,35.419998,8110,4686,济宁市,Jining,774.02808,808.19,267.9982,347.27802,5
135,3709,117.08,36.200001,8186,4508,泰安市,Taian,533.46307,549.41998,208.5047,276.62091,4
136,3710,122.12,37.52,9022,4134,威海市,Weihai,259.67529,280.48001,129.11549,163.2787,4
